timestamp,open,high,low,close
1784565600,124.345001221,124.370002747,123.600196838,123.720001221
1784565900,123.690002441,124.332000732,123.550003052,124.190002441
1784566200,124.230003357,124.319900513,123.370002747,123.410003662
1784566500,123.404998779,123.470001221,122.839996338,122.959899902
1784566800,122.954299927,122.954299927,122.599998474,122.620101929
1784567100,122.629997253,122.959999084,122.540000916,122.697097778
1784567400,122.720001221,122.790000916,122.180000305,122.209999084
1784567700,122.199996948,122.510002136,122.120002747,122.480003357
1784568000,122.479499817,122.680000305,122.290000916,122.559997559
1784568300,122.574996948,122.778198242,122.220001221,122.569999695
1784568600,122.589996338,122.779998779,122.559997559,122.559997559
1784568900,122.559997559,122.819999695,122.300003052,122.324996948
1784569200,122.309997559,122.459999084,121.769996643,121.86000061
1784569500,121.86000061,122.349998474,121.800003052,122.300003052
1784569800,122.300003052,122.589996338,122.239997864,122.529998779
1784570100,122.530097961,122.699897766,122.264900208,122.569999695
1784570400,122.569999695,122.959999084,122.459999084,122.529998779
1784570700,122.544998169,122.919998169,122.400001526,122.88999939
1784571000,122.88999939,123.269996643,122.680000305,123.247703552
1784571300,123.254997253,123.410003662,123.029998779,123.089996338
1784571600,123.11000061,123.199996948,122.430000305,122.444999695
1784571900,122.459999084,122.845001221,122.419998169,122.650001526
1784572200,122.589996338,122.639099121,122.269996643,122.339996338
1784572500,122.379997253,122.580001831,122.080001831,122.169998169
1784572800,122.189903259,122.239997864,121.900001526,121.989997864
1784573100,121.930000305,122.099998474,121.849998474,121.855003357
1784573400,121.855003357,121.980003357,121.739997864,121.92250061
1784573700,121.940002441,121.940002441,121.660003662,121.663200378
1784574000,121.669998169,121.757301331,121.160499573,121.25
1784574300,121.260002136,121.459999084,121.11000061,121.339996338
1784574600,121.339996338,121.480003357,121.11000061,121.144996643
1784574900,121.144996643,121.410003662,120.879997253,120.919998169
1784575200,120.910003662,120.999900818,120.680000305,120.88999939
1784575500,120.870002747,121,120.709999084,120.900001526
1784575800,120.910003662,121.04989624,120.599998474,120.690002441
1784576100,120.690002441,120.719902039,120.330001831,120.434997559
1784576400,120.434997559,120.879997253,120.36000061,120.839996338
1784576700,120.849998474,120.92250061,120.480003357,120.739997864
1784577000,120.699996948,120.739997864,120.319999695,120.420402527
1784577300,120.434997559,120.459999084,119.690002441,119.86000061
1784640600,122.169998169,123.480003357,120.364997864,120.88999939
1784640900,120.809997559,121.88999939,120.5,121.644996643
1784641200,121.629997253,122.989997864,121.5,122.870002747
1784641500,122.879997253,124.63999939,122.849998474,124.574996948
1784641800,124.574996948,125.364997864,124.438903809,125.209999084
1784642100,125.190002441,125.660003662,124.819999695,125.13999939
1784642400,125.169998169,126.440002441,125.11000061,126.36000061
1784642700,126.400001526,127.269996643,126,126.205001831
1784643000,126.199996948,126.879997253,125.900001526,126.790000916
1784643300,126.790000916,127.86000061,126.464996338,127.297996521
1784643600,127.330001831,127.330001831,126.5,127.26499939
1784643900,127.26499939,128.369995117,127.239997864,128.150604248
1784644200,128.13999939,128.779998779,127.5,127.699897766
1784644500,127.690002441,127.690002441,127,127.209999084
1784644800,127.160003662,128.419998169,127.099998474,127.989997864
1784645100,127.959999084,128.039993286,127.5,128.029907227
1784645400,127.919998169,128.100006104,127.520103455,127.551597595
1784645700,127.550003052,127.919998169,127.550003052,127.739997864
1784646000,127.699996948,127.739997864,126.800003052,126.879898071
1784646300,126.864997864,128.949905396,126.790000916,128.804992676
1784646600,128.770004272,129.880004883,128.759994507,129.445007324
1784646900,129.5,129.839996338,128.720001221,128.949996948
1784647200,128.900100708,129.179992676,128.550003052,129.029998779
1784647500,128.990493774,129.13999939,128.539993286,128.654998779
1784647800,128.654998779,128.720001221,128.100006104,128.38999939
1784648100,128.38999939,128.550003052,128.210006714,128.459793091
1784648400,128.440002441,128.529998779,127.800003052,127.910003662
1784648700,127.910003662,128.5,127.730003357,128.48500061
1784649000,128.48500061,128.710006714,128.179992676,128.289993286
1784649300,128.289993286,128.5,128.210006714,128.294998169
1784649600,128.300003052,128.300003052,127.910003662,128.149993896
1784649900,128.154998779,128.229995728,127.400001526,127.519897461
1784650200,127.5,127.619903564,127.169998169,127.36000061
1784650500,127.375,128.039993286,127.089996338,127.129997253
1784650800,127.080001831,127.419998169,127.050003052,127.269996643
1784651100,127.290000916,127.550003052,127.089996338,127.519996643
1784651400,127.540000916,127.989997864,127.489997864,127.959999084
1784651700,127.915000916,128.220001221,127.800003052,127.932403564
1784652000,127.925003052,128.139007568,127.332801819,127.400001526
1784652300,127.400001526,128.539993286,127.400001526,128.505004883
1784652600,128.505004883,128.550003052,128.270004272,128.399993896
1784652900,128.38999939,128.630004883,128.300506592,128.449996948
1784653200,128.5,129.050003052,128.5,128.75
1784653500,128.785003662,129.100006104,128.759994507,128.830001831
1784653800,128.880004883,128.880004883,128.339996338,128.365005493
1784654100,128.36000061,128.86000061,128.275100708,128.619903564
1784654400,128.63999939,128.63999939,128.333999634,128.419998169
1784654700,128.449996948,128.550003052,128.199996948,128.23500061
1784655000,128.220001221,128.419998169,128.169998169,128.25
1784655300,128.26499939,128.489395142,127.86000061,127.885002136
1784655600,127.864997864,128.039993286,127.650001526,127.680000305
1784655900,127.690002441,127.869903564,127.5,127.849998474
1784656200,127.870002747,128.078094482,127.75,127.760002136
1784656500,127.760002136,128.229995728,127.620002747,127.995002747
1784656800,127.989997864,128.199996948,127.61000061,127.730003357
1784657100,127.730003357,127.919898987,127.559997559,127.569999695
1784657400,127.595001221,127.739997864,127.529998779,127.529998779
1784657700,127.529998779,127.589897156,127.160003662,127.23400116
1784658000,127.260002136,127.330001831,126.809997559,126.925003052
1784658300,126.925003052,127.300003052,126.599998474,127.114997864
1784658600,127.105003357,127.139900208,126.790000916,126.900001526
1784658900,126.934997559,127.059997559,126.519996643,126.589996338
1784659200,126.574996948,126.769996643,126.360496521,126.464996338
1784659500,126.470001221,126.579902649,125.449996948,125.580001831
1784659800,125.61000061,125.61000061,124.349998474,124.370002747
1784660100,124.349998474,124.779998779,123.550003052,123.63999939
1784660400,123.709999084,123.809997559,123.129997253,123.184997559
1784660700,123.160003662,123.970001221,122.940002441,123.650001526
1784661000,123.650001526,123.839996338,123.120002747,123.300003052
1784661300,123.319999695,123.330001831,122.580001831,122.63999939
1784661600,122.650001526,123.190002441,122.5,122.519996643
1784661900,122.519996643,122.870002747,122.150001526,122.644996643
1784662200,122.650001526,123.209999084,122.589996338,123.029998779
1784662500,123.050003052,123.599998474,122.940002441,123.230003357
1784662800,123.230003357,123.25,122.879997253,123.119903564
1784663100,123.11000061,123.510002136,122.980499268,123.489997864
1784663400,123.510002136,123.559997559,122.919998169,123.040000916
1784663700,123.059997559,123.915000916,123.050003052,123.470001221
1784727000,123.290000916,123.38999939,121.769996643,122.714996338
1784727300,122.690002441,123.099998474,121.75,122.044998169
1784727600,121.98500061,122.519996643,121.620002747,122.38999939
1784727900,122.440002441,123.010002136,121.800003052,122.970001221
1784728200,122.904197693,123.470001221,122.791099548,123.190002441
1784728500,123.180000305,123.75,123.050003052,123.75
1784728800,123.680000305,123.88999939,123.300003052,123.440002441
1784729100,123.430000305,123.488098145,122.830001831,123.105003357
1784729400,123.105003357,123.11000061,121.870002747,121.900001526
1784729700,121.904998779,122.290000916,121.75,122.279998779
1784730000,122.269996643,123.040000916,122.220001221,122.910003662
1784730300,122.919998169,123.169998169,122.589996338,123.13999939
1784730600,123.169998169,123.379997253,122.590103149,122.620399475
1784730900,122.644996643,123.189903259,122.400001526,122.819999695
1784731200,122.839996338,123,122.480003357,122.809997559
1784731500,122.809997559,123.190002441,122.669998169,122.980003357
1784731800,122.980003357,123.089996338,122.800003052,122.930000305
1784732100,122.930000305,123.419998169,122.879997253,123.300003052
1784732400,123.36000061,123.899902344,122.760101318,123.75
1784732700,123.709999084,124.300003052,123.660003662,123.864997864
1784733000,123.86000061,124.329498291,123.629997253,124.315002441
1784733300,124.330001831,124.539901733,124.180000305,124.433998108
1784733600,124.469902039,124.580001831,124.059997559,124.300003052
1784733900,124.294998169,124.599998474,124.120002747,124.339996338
1784734200,124.309997559,124.440002441,124.199996948,124.300003052
1784734500,124.290000916,124.769996643,124.251502991,124.644798279
1784734800,124.650001526,124.75,124,124.11000061
1784735100,124.069999695,124.660003662,124.010002136,124.63999939
1784735400,124.63999939,124.720001221,124.531196594,124.620002747
1784735700,124.599998474,124.629997253,124.260002136,124.539001465
1784736000,124.459999084,124.650001526,123.699996948,123.769996643
1784736300,123.75,123.769996643,123.540100098,123.660003662
1784736600,123.63999939,123.650001526,122.86000061,123.125
1784736900,123.125,123.150001526,122.64099884,122.785003662
1784737200,122.785003662,122.809997559,121.809997559,121.964996338
1784737500,121.949996948,121.980003357,121.680000305,121.769996643
1784737800,121.769996643,121.989997864,121.330001831,121.525001526
1784738100,121.559997559,121.619903564,121.065002441,121.209999084
1784738400,121.219902039,121.241996765,120.720001221,120.779998779
1784738700,120.779998779,121.089996338,120.560096741,121.079902649
1784739000,121.069999695,121.220001221,120.900001526,120.949996948
1784739300,120.949996948,121.489997864,120.819999695,121.324996948
1784739600,121.339996338,121.370002747,121.050003052,121.074996948
1784739900,121.080001831,121.129997253,120.819999695,120.919998169
1784740200,120.907096863,120.976799011,120.739997864,120.824996948
1784740500,120.824996948,120.980003357,120.739997864,120.940002441
1784740800,120.940002441,120.940002441,120.580001831,120.680000305
1784741100,120.669998169,120.720001221,120.25,120.339996338
1784741400,120.330001831,120.577598572,119.160003662,119.160003662
1784741700,119.180000305,120.099998474,119.050003052,119.665000916
1784742000,119.665000916,119.790000916,119.160003662,119.324996948
1784742300,119.349998474,119.489997864,119.190002441,119.479301453
1784742600,119.464996338,119.480003357,118.150001526,118.220001221
1784742900,118.224998474,118.769996643,118.080001831,118.580001831
1784743200,118.599998474,118.800003052,118.519996643,118.669998169
1784743500,118.660003662,118.980003357,118.589996338,118.799003601
1784743800,118.800003052,119.269897461,118.599998474,118.709999084
1784744100,118.699996948,118.980003357,118.550003052,118.569999695
1784744400,118.569999695,118.580001831,117.690002441,117.730003357
1784744700,117.739997864,117.831497192,117.38999939,117.394996643
1784745000,117.38999939,118.059997559,116.900001526,117.714996338
1784745300,117.690002441,117.879997253,117.495300293,117.600402832
1784745600,117.620002747,117.769996643,117.489997864,117.555000305
1784745900,117.540000916,117.699996948,116.949996948,117.050003052
1784746200,117.029998779,117.059997559,116.699996948,116.699996948
1784746500,116.728797913,116.978500366,116.61000061,116.635002136
1784746800,116.63999939,116.769996643,116.190002441,116.709999084
1784747100,116.699996948,117.290000916,116.470001221,117.095001221
1784747400,117.099998474,117.160003662,116.230003357,116.529998779
1784747700,116.559997559,116.669998169,116.13999939,116.535003662
1784748000,116.5,116.665298462,116.309997559,116.486000061
1784748300,116.5,116.75,116.030097961,116.61000061
1784748600,116.60849762,116.75,116.300003052,116.605003357
1784748900,116.605003357,116.720001221,115.919998169,115.973999023
1784749200,115.964996338,116.269996643,115.699996948,115.899902344
1784749500,115.879997253,116,115.650001526,115.869903564
1784749800,115.879997253,116.510002136,115.379997253,115.400001526
1784750100,115.38999939,115.440002441,115.190002441,115.269996643
1784813400,115.099998474,115.839996338,114.519996643,115.154998779
1784813700,115.199897766,116.290000916,115.029998779,115.900001526
1784814000,115.898101807,116.410003662,114.519996643,114.569999695
1784814300,114.565002441,115.589996338,114.320297241,114.76499939
1784814600,114.739997864,115.069999695,113.540000916,113.989997864
1784814900,113.940002441,114.150001526,113.309997559,113.544998169
1784815200,113.569999695,114.080001831,113.5,113.644996643
1784815500,113.614997864,114.209999084,113.260002136,113.364997864
1784815800,113.379997253,113.410003662,112.020103455,112.240097046
1784816100,112.330001831,113.479896545,112.169998169,112.769996643
1784816400,112.750099182,113.419998169,112.709999084,112.900001526
1784816700,112.879997253,112.989898682,112.180000305,112.400001526
1784817000,112.36000061,112.440002441,112.050003052,112.209999084
1784817300,112.239997864,113.129997253,112.190101624,112.879997253
1784817600,112.88999939,113.11000061,112.180000305,112.205001831
1784817900,112.205001831,112.205001831,111.129997253,111.330001831
1784818200,111.330001831,111.459999084,110.849998474,111.38999939
1784818500,111.370002747,111.940002441,111.370002747,111.510002136
1784818800,111.529998779,112.309898376,111.510002136,111.988502502
1784819100,111.949996948,112.279998779,111.510002136,111.569900513
1784819400,111.535003662,112.38999939,111.099998474,112.364997864
1784819700,112.364997864,112.970001221,112.290000916,112.739997864
1784820000,112.75,113.079399109,112.330001831,112.51499939
1784820300,112.51499939,112.599998474,112.080001831,112.539001465
1784820600,112.540000916,113.400001526,112.531700134,113.315002441
1784820900,113.330001831,113.410003662,112.800003052,112.980003357
1784821200,112.989997864,113.029998779,112.300003052,112.809997559
1784821500,112.834999084,113.379997253,112.599998474,113.029998779
1784821800,113.010002136,114.120002747,112.980003357,114.069999695
1784822100,114.069999695,114.650001526,113.779998779,114.589996338
1784822400,114.650001526,114.680000305,114.129997253,114.199996948
