timestamp,open,high,low,close
1782149700,165.112503052,165.25,165.009994507,165.104995728
1782150000,165.104995728,165.580001831,165.059997559,165.341003418
1782150300,165.407592773,165.649993896,165.100906372,165.214996338
1782150600,165.220001221,166.690002441,165.152496338,166.460006714
1782150900,166.449996948,166.699996948,166.259994507,166.339706421
1782151200,166.335006714,166.574005127,165.300003052,165.390106201
1782151500,165.38999939,165.800003052,165.25,165.780105591
1782151800,165.785003662,165.88999939,165.020004272,165.10899353
1782152100,165.104995728,165.630004883,165.100006104,165.609695435
1782152400,165.600006104,166.36000061,165.580093384,166.20010376
1782152700,166.205001831,166.380004883,165.612503052,165.669998169
1782153000,165.675003052,165.800003052,165.350006104,165.490005493
1782153300,165.479995728,165.489395142,165.100006104,165.100997925
1782153600,165.11000061,165.240005493,165.029998779,165.074996948
1782153900,165.074996948,165.300003052,165.009994507,165.089996338
1782154200,165.089996338,165.169998169,162.220001221,162.225006104
1782154500,162.225006104,162.679992676,161.449996948,161.519393921
1782154800,161.520004272,162,161.110107422,161.17010498
1782155100,161.160003662,161.219894409,160.399993896,160.405502319
1782155400,160.404998779,160.649993896,160.160003662,160.257797241
1782155700,160.25100708,160.257797241,160,160.011001587
1782156000,160.019805908,160.089996338,158.309997559,158.75
1782156300,158.774993896,159.320007324,158.050003052,158.759994507
1782156600,158.760101318,159.220001221,157.42010498,157.440002441
1782156900,157.429992676,157.479995728,155.5,155.739501953
1782157200,155.5,156.86000061,155.369995117,155.804992676
1782157500,155.800003052,155.862304688,154.330001831,155.850006104
1782157800,155.839996338,156.509994507,154,155.733001709
1782158100,155.740005493,155.800003052,154.210006714,154.589996338
1782221400,151.029998779,152.919906616,149,152.665100098
1782221700,152.669998169,154.13999939,149.289993286,149.339904785
1782222000,149.289993286,149.518005371,147.11000061,148.854003906
1782222300,148.880004883,153.190002441,148.63999939,152.540100098
1782222600,152.589904785,153.88999939,151.621307373,153.354995728
1782222900,153.419998169,156.5,151,155.740005493
1782223200,155.740005493,158.869995117,155.440002441,158.475006104
1782223500,158.5,158.5,156.270004272,156.699996948
1782223800,156.740005493,157.869995117,155.5,157.460006714
1782224100,157.451004028,158.119995117,155.119995117,155.413497925
1782224400,155.420501709,155.809997559,154.119995117,155.479995728
1782224700,155.5,156.690002441,155.089996338,155.804992676
1782225000,155.877807617,158.459899902,155.75,158.290603638
1782225300,158.300003052,159.300003052,157.309997559,158.410003662
1782225600,158.469894409,158.68989563,156.660003662,156.778106689
1782225900,156.680099487,157.278793335,155.630096436,156.535003662
1782226200,156.535003662,157.869995117,156.412506104,156.929504395
1782226500,156.869995117,158.499893188,156.699996948,158.410003662
1782226800,158.380004883,159.490005493,158.089996338,159.104995728
1782227100,159.104995728,159.839996338,158.309997559,159.708694458
1782227400,159.660003662,159.86000061,158.550003052,159.039993286
1782227700,159.029998779,159.449996948,157.800003052,157.824996948
1782228000,157.824996948,159.669998169,157.779998779,159.565002441
1782228300,159.550003052,159.6690979,158.151199341,158.350006104
1782228600,158.339996338,158.339996338,157.300003052,157.895004272
1782228900,157.895004272,158,156.800094604,156.949996948
1782229200,156.949996948,158.5,156.899993896,158.462493896
1782229500,158.460006714,158.979995728,157.929992676,158.369995117
1782229800,158.379104614,159.800003052,158.294998169,159.779998779
1782230100,159.76499939,161.460006714,159.400100708,161.220001221
1782230400,161.225006104,162.380004883,161.010101318,162.36000061
1782230700,162.36819458,163.679992676,162.169998169,163.169906616
1782231000,163.130004883,163.770004272,160.11000061,162.710098267
1782231300,162.73500061,163.320007324,162.429992676,162.710006714
1782231600,162.710006714,163.879898071,161.699996948,163.75
1782231900,163.740005493,164.13999939,163.430099487,163.609893799
1782232200,163.61000061,165.5,162.367599487,162.740005493
1782232500,162.740005493,163.190002441,161.509994507,162.039993286
1782232800,162.039993286,163.100006104,161.852493286,162.804992676
