timestamp,open,high,low,close
1732852800,2,3.975,2,3.68
1732867200,3.6501,4.61,3.65,4.53
1732881600,4.5545,5.3842,4.2444,5.3825
1732896000,5.3834,6.2451,4.96,5.6419
1732910400,5.6575,6.61,5.6216,6.252
1732924800,6.2302,7.1182,6.1613,6.9027
1732939200,6.9113,7.2677,6.15,6.831
1732953600,6.8427,7.6641,6.3544,7.5743
1732968000,7.5742,8.8586,7.19,8.5286
1732982400,8.5067,8.9374,7.8,8.5864
1732996800,8.5862,8.94,8.2374,8.4985
1733011200,8.4961,9.748,8.1,9.7195
1733025600,9.6998,9.8687,9.33,9.4057
1733040000,9.429,9.847,8.92,9.2179
1733054400,9.2179,9.5351,8.2569,8.981
1733068800,8.991,9.4532,8.275,9.1837
1733083200,9.1826,9.4975,8.9362,9.4686
1733097600,9.4676,9.654,8.5069,8.5213
1733112000,8.521,9.2496,7.9849,9.1728
1733126400,9.1607,9.1903,8.2213,8.7347
1733140800,8.7347,8.95,8.0946,8.1877
1733155200,8.1954,8.7518,7.1781,8.5045
1733169600,8.5124,8.5727,7.925,8.4277
1733184000,8.4208,8.718,7.7374,8.5991
1733198400,8.5903,9.45,8.5901,9.0544
1733212800,9.0543,9.39,8.722,8.9457
1733227200,8.9451,9.3585,8.4694,9.1312
1733241600,9.147,9.4,9.044,9.3919
1733256000,9.3999,11.8,9.2801,11.082
1733270400,11.076,12.332,10.731,12.329
1733284800,12.316,12.95,11.8,12.157
1733299200,12.153,13.22,11.76,12.714
1733313600,12.707,12.99,11.11,11.41
1733328000,11.401,12.354,10.707,11.182
1733342400,11.184,12.337,10.81,11.403
1733356800,11.395,12.461,10.405,12.45
1733371200,12.45,13.267,11.8,13.239
1733385600,13.247,13.95,12.967,13.498
1733400000,13.498,13.698,12.395,12.709
1733414400,12.72,13.199,12.1,12.13
1733428800,12.13,12.942,11.27,12.71
1733443200,12.685,13.647,12.582,13.362
1733457600,13.362,13.55,12.891,13.072
1733472000,13.065,13.43,12.4,12.646
1733486400,12.637,13.776,12.29,13.773
1733500800,13.772,14.241,13.32,13.852
1733515200,13.862,14.39,13.2,13.829
1733529600,13.829,14.798,13.5,14.787
1733544000,14.789,15,14.35,14.519
1733558400,14.533,14.9,14.12,14.289
1733572800,14.289,15,14.1,14.403
1733587200,14.402,14.88,13.75,14.664
1733601600,14.664,14.819,13.951,14.117
1733616000,14.12,14.321,13.451,14.213
1733630400,14.202,14.218,13.451,13.889
1733644800,13.889,13.991,13.434,13.922
1733659200,13.921,14.516,13.901,14.475
1733673600,14.471,14.737,13.794,13.853
1733688000,13.863,14.48,13.701,14.02
1733702400,14.016,14.454,13.469,13.604
1733716800,13.601,13.769,12.5,13.447
1733731200,13.455,13.7,12.366,12.508
1733745600,12.505,13.562,12.379,12.639
1733760000,12.64,13.376,12.347,12.711
1733774400,12.721,13.688,11.939,13.541
1733788800,13.538,13.653,12.61,13.051
1733803200,13.07,13.888,12.72,13.7
1733817600,13.701,14.519,13.577,14.346
1733832000,14.346,14.417,12.905,12.955
1733846400,12.956,13.66,12.57,13.194
1733860800,13.194,14,12.898,13.562
1733875200,13.558,13.9,13,13.793
1733889600,13.799,13.971,13.21,13.524
1733904000,13.524,14.385,13.515,14.244
1733918400,14.249,15.774,14.135,15.515
1733932800,15.508,16.55,15.118,16.294
1733947200,16.294,16.55,15.796,16.115
1733961600,16.106,16.55,15.59,16.328
1733976000,16.341,18.141,16.244,17.667
1733990400,17.667,18.222,17.453,17.827
1734004800,17.827,18.773,17.6,18.18
1734019200,18.19,18.7,17.17,17.47
1734033600,17.477,18.477,17.268,18.041
1734048000,18.041,18.185,17.255,17.787
1734062400,17.786,17.834,16.941,17.357
1734076800,17.357,18.217,17.27,17.927
1734091200,17.925,18.144,17.216,17.967
1734105600,17.962,19.468,17.709,19.413
1734120000,19.413,19.571,18.927,19.48
1734134400,19.482,21.485,19,20.92
1734148800,20.92,21.888,20.45,20.841
1734163200,20.822,21.957,20.069,20.499
1734177600,20.497,23.403,20.245,22.626
1734192000,22.625,23.69,22,22.889
1734206400,22.901,24.369,22.316,24.151
1734220800,24.151,24.994,23.063,23.905
1734235200,23.904,24.588,22.172,22.386
1734249600,22.386,24,21.429,21.839
1734264000,21.838,25,21.141,24.621
1734278400,24.621,25.033,23.374,23.633
1734292800,23.633,24.98,22.57,23.89
1734307200,23.879,24.96,23.01,24.138
1734321600,24.1,26.802,23.727,26.774
1734336000,26.774,27.25,25.25,25.758
1734350400,25.758,27.27,25.31,27.107
1734364800,27.101,28.156,26.31,27.95
1734379200,27.909,28.5,26.958,27.243
1734393600,27.23,29,26.777,28.938
1734408000,28.937,28.99,27.4,27.754
1734422400,27.754,28.666,27.4,27.722
1734436800,27.718,28.638,25.9,26.998
1734451200,27,27.64,25.412,26.673
1734465600,26.694,26.95,23.712,25.583
1734480000,25.561,27.284,25.026,25.971
1734494400,25.971,26.1,24.01,24.991
1734508800,24.98,27.5,24.972,26.653
1734523200,26.638,27.35,24.3,25.415
1734537600,25.415,25.56,23.9,23.951
1734552000,23.95,26.288,22.692,23.218
1734566400,23.218,25.059,22,24.547
1734580800,24.547,25.691,24.094,25.687
1734595200,25.635,27.22,24.556,27.057
1734609600,27.057,27.247,24.372,25.07
1734624000,25.07,25.522,22.383,23.977
1734638400,23.986,25.789,22.612,24.92
1734652800,24.92,25.491,23.429,24.912
1734667200,24.916,25.5,23.778,24.548
1734681600,24.54,24.664,22.9,23.202
1734696000,23.201,30.944,22.9,30.175
1734710400,30.175,31.861,29.223,29.522
1734724800,29.522,30.995,28.36,29.749
1734739200,29.735,33.398,28.971,33.005
1734753600,33.005,35,32.233,34.1
1734768000,34.107,34.184,32.21,33.279
1734782400,33.273,33.89,31.222,32.353
1734796800,32.365,32.6,30.6,32.115
1734811200,32.116,35.25,31.671,32.029
1734825600,32.011,34.987,31.9,34.482
1734840000,34.469,34.54,32.109,32.888
1734854400,32.894,34.742,32.792,33.881
1734868800,33.876,34.09,30.943,31.445
1734883200,31.467,31.818,27.852,27.92
1734897600,27.906,30.139,27.371,28.459
1734912000,28.459,29.76,25.3,29.478
1734926400,29.476,29.672,25.8,28.225
1734940800,28.225,29.5,27.099,27.143
1734955200,27.143,27.811,25.2,26.907
1734969600,26.907,28.8,26.209,26.755
1734984000,26.733,29.78,26.407,28.623
1734998400,28.593,30.12,27.429,29.322
1735012800,29.33,30.238,28.762,29.242
1735027200,29.243,30.061,27.39,27.92
1735041600,27.917,30.289,27.478,30.286
1735056000,30.288,31.478,29.02,29.235
1735070400,29.223,30.434,28.489,29.783
1735084800,29.772,30.44,29.107,29.488
1735099200,29.488,30.49,28.935,29.222
1735113600,29.222,29.774,27.989,28.073
1735128000,28.084,28.57,26.454,26.825
1735142400,26.826,28.669,26.651,28.131
1735156800,28.13,28.928,26.2,26.544
1735171200,26.543,26.913,25.579,26.515
1735185600,26.515,26.601,25.35,25.378
1735200000,25.379,26,23.859,25.089
